Konteks,Pertanyaan,Jawaban,Topik
"""Masyarakat lokal memainkan peran penting dalam pelestarian Candi Borobudur. Mereka terlibat dalam upaya pemeliharaan, pengawasan, dan pengelolaan situs warisan ini. Selain itu, masyarakat lokal juga terlibat dalam upaya pelestarian budaya dan tradisi yang terkait dengan Candi Borobudur. Dengan keterlibatan aktif masyarakat lokal, pelestarian Candi Borobudur dapat terjaga dengan lebih baik, sambil memastikan bahwa nilai-nilai budaya dan sejarahnya tetap dihormati dan dilestarikan.""

""Reaksi masyarakat internasional terhadap pemugaran dan pelestarian Candi Borobudur umumnya sangat positif. Candi Borobudur dianggap sebagai salah satu situs berharga warisan peradaban nusantara dan menjadi pusat perhatian dunia sebagai situs warisan budaya yang penting. Upaya pemugaran dan pelestarian Candi Borobudur mendapat dukungan luas dari masyarakat internasional, organisasi warisan dunia, dan pecinta sejarah serta kebudayaan. Hal ini menunjukkan bahwa Candi Borobudur dianggap sebagai warisan budaya yang bernilai dan perlu dilestarikan untuk generasi mendatang.""",Siapa saja yang mendukung upaya pemugaran dan pelestarian Candi Borobudur?,"Upaya pemugaran dan pelestarian Candi Borobudur mendapat dukungan luas dari masyarakat internasional, organisasi warisan dunia, dan pecinta sejarah serta kebudayaan.",Pemugaran
"""Masyarakat lokal memainkan peran penting dalam pelestarian Candi Borobudur. Mereka terlibat dalam upaya pemeliharaan, pengawasan, dan pengelolaan situs warisan ini. Selain itu, masyarakat lokal juga terlibat dalam upaya pelestarian budaya dan tradisi yang terkait dengan Candi Borobudur. Dengan keterlibatan aktif masyarakat lokal, pelestarian Candi Borobudur dapat terjaga dengan lebih baik, sambil memastikan bahwa nilai-nilai budaya dan sejarahnya tetap dihormati dan dilestarikan.""

""Reaksi masyarakat internasional terhadap pemugaran dan pelestarian Candi Borobudur umumnya sangat positif. Candi Borobudur dianggap sebagai salah satu situs berharga warisan peradaban nusantara dan menjadi pusat perhatian dunia sebagai situs warisan budaya yang penting. Upaya pemugaran dan pelestarian Candi Borobudur mendapat dukungan luas dari masyarakat internasional, organisasi warisan dunia, dan pecinta sejarah serta kebudayaan. Hal ini menunjukkan bahwa Candi Borobudur dianggap sebagai warisan budaya yang bernilai dan perlu dilestarikan untuk generasi mendatang.""",Mengapa Candi Borobudur perlu dilestarikan untuk generasi mendatang?,"Candi Borobudur perlu dilestarikan untuk generasi mendatang karena merupakan warisan budaya yang bernilai dan memiliki nilai-nilai budaya dan sejarah yang sangat penting, serta untuk memastikan bahwa nilai-nilai budaya dan sejarahnya tetap dihormati dan dilestarikan.",Pemugaran
"""Pengelolaan pariwisata di sekitar Candi Borobudur dilakukan melalui berbagai upaya, termasuk pengaturan akses wisatawan, pelestarian lingkungan, dan pengembangan infrastruktur pariwisata. Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya. Upaya pengelolaan termasuk pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi. Selain itu, pengembangan fasilitas pendukung pariwisata seperti museum, pusat informasi, dan sarana transportasi juga dilakukan untuk meningkatkan pengalaman wisatawan. Semua upaya ini bertujuan untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.""",Siapa yang bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur?,"Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya.",Pemugaran
"""Pengelolaan pariwisata di sekitar Candi Borobudur dilakukan melalui berbagai upaya, termasuk pengaturan akses wisatawan, pelestarian lingkungan, dan pengembangan infrastruktur pariwisata. Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya. Upaya pengelolaan termasuk pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi. Selain itu, pengembangan fasilitas pendukung pariwisata seperti museum, pusat informasi, dan sarana transportasi juga dilakukan untuk meningkatkan pengalaman wisatawan. Semua upaya ini bertujuan untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.""",Apa upaya yang dilakukan untuk mengelola pariwisata di sekitar Candi Borobudur?,"Upaya yang dilakukan untuk mengelola pariwisata di sekitar Candi Borobudur termasuk pengaturan akses wisatawan, pelestarian lingkungan, pengembangan infrastruktur pariwisata, pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi.",Pemugaran
"""Pengelolaan pariwisata di sekitar Candi Borobudur dilakukan melalui berbagai upaya, termasuk pengaturan akses wisatawan, pelestarian lingkungan, dan pengembangan infrastruktur pariwisata. Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya. Upaya pengelolaan termasuk pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi. Selain itu, pengembangan fasilitas pendukung pariwisata seperti museum, pusat informasi, dan sarana transportasi juga dilakukan untuk meningkatkan pengalaman wisatawan. Semua upaya ini bertujuan untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.""",Mengapa pengembangan fasilitas pendukung pariwisata di sekitar Candi Borobudur dilakukan?,Pengembangan fasilitas pendukung pariwisata di sekitar Candi Borobudur dilakukan untuk meningkatkan pengalaman wisatawan dan menjaga keberlangsungan pariwisata di sekitar Candi Borobudur.,Pemugaran
"""Pengelolaan pariwisata di sekitar Candi Borobudur dilakukan melalui berbagai upaya, termasuk pengaturan akses wisatawan, pelestarian lingkungan, dan pengembangan infrastruktur pariwisata. Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya. Upaya pengelolaan termasuk pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi. Selain itu, pengembangan fasilitas pendukung pariwisata seperti museum, pusat informasi, dan sarana transportasi juga dilakukan untuk meningkatkan pengalaman wisatawan. Semua upaya ini bertujuan untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.""",Apa contoh fasilitas pendukung pariwisata yang dikembangkan di sekitar Candi Borobudur?,"Contoh fasilitas pendukung pariwisata yang dikembangkan di sekitar Candi Borobudur termasuk museum, pusat informasi, dan sarana transportasi.",Pemugaran
"""Pengelolaan pariwisata di sekitar Candi Borobudur dilakukan melalui berbagai upaya, termasuk pengaturan akses wisatawan, pelestarian lingkungan, dan pengembangan infrastruktur pariwisata. Balai Konservasi Borobudur bertanggung jawab atas pengelolaan dan pelestarian Candi Borobudur, dengan dukungan dari pemerintah dan pihak terkait lainnya. Upaya pengelolaan termasuk pembatasan jumlah pengunjung, pengawasan terhadap aktivitas wisatawan, dan pemeliharaan kebersihan lingkungan sekitar candi. Selain itu, pengembangan fasilitas pendukung pariwisata seperti museum, pusat informasi, dan sarana transportasi juga dilakukan untuk meningkatkan pengalaman wisatawan. Semua upaya ini bertujuan untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.""",Apa tujuan dari pengelolaan pariwisata di sekitar Candi Borobudur?,Tujuan dari pengelolaan pariwisata di sekitar Candi Borobudur adalah untuk menjaga keberlangsungan pariwisata di sekitar Candi Borobudur sambil tetap memperhatikan pelestarian warisan budaya dan alam.,Pemugaran
"Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Kapan Borobudur mulai dikenal dalam dunia ilmu pengetahuan modern?,Borobudur mulai dikenal dalam dunia ilmu pengetahuan modern menjelang tahun 1814.,Sejarah
"Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Siapa yang memerintahkan penyelidikan di Borobudur pada masa pemerintahan Inggris?,"Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal Inggris, memerintahkan penyelidikan di Borobudur pada masa pemerintahan Inggris yang singkat (1811-1816).",Sejarah
"Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Berapa banyak orang yang terlibat dalam proses pembersihan dan penggalian Borobudur?,"200 orang terlibat dalam proses pembersihan dan penggalian Borobudur, dengan tugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu.",Sejarah
"Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Kapan Borobudur akhirnya dapat dilihat dalam keadaan yang lebih jelas?,"Borobudur akhirnya dapat dilihat dalam keadaan yang lebih jelas pada tahun 1835, ketika candi itu akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung.",Sejarah
"Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Apa yang dilakukan dengan panel-panel relief yang terpendam di Borobudur setelah bagian kaki candi dibuka?,"Setelah bagian kaki candi dibuka antara tahun 1890-1891, panel-panel relief yang terpendam dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali.",Sejarah
"Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.[26] Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9. Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.[26] Kurun waktu ini sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah,[27] yang kala itu menguasai tahta Kerajaan Medang. Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih dan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.[28][29]",Apakah ada bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya?,Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.,Sejarah
"Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.[26] Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9. Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.[26] Kurun waktu ini sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah,[27] yang kala itu menguasai tahta Kerajaan Medang. Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih dan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.[28][29]",Bagaimana waktu pembangunannya Borobudur diperkirakan?,Waktu pembangunannya Borobudur diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9.,Sejarah
"Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.[26] Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9. Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.[26] Kurun waktu ini sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah,[27] yang kala itu menguasai tahta Kerajaan Medang. Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih dan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.[28][29]",Kapan Borobudur diperkirakan dibangun?,"Borobudur diperkirakan dibangun sekitar tahun 800 masehi, yang sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah.",Sejarah
"Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.[26] Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9. Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.[26] Kurun waktu ini sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah,[27] yang kala itu menguasai tahta Kerajaan Medang. Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih dan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.[28][29]",Berapa lama waktu yang dibutuhkan untuk membangun Borobudur?,Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih.,Sejarah
"Tidak ditemukan bukti tertulis yang menjelaskan siapakah yang membangun Borobudur dan apa kegunaannya.[26] Waktu pembangunannya diperkirakan berdasarkan perbandingan antara jenis aksara yang tertulis di kaki tertutup Karmawibhangga dengan jenis aksara yang lazim digunakan pada prasasti kerajaan abad ke-8 dan ke-9. Diperkirakan Borobudur dibangun sekitar tahun 800 masehi.[26] Kurun waktu ini sesuai dengan kurun antara 760 dan 830 M, masa puncak kejayaan wangsa Syailendra di Jawa Tengah,[27] yang kala itu menguasai tahta Kerajaan Medang. Pembangunan Borobudur diperkirakan menghabiskan waktu 75 - 100 tahun lebih dan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.[28][29]",Siapakah raja yang memerintah pada saat Borobudur selesai dibangun?,Borobudur diperkirakan benar-benar dirampungkan pada masa pemerintahan raja Samaratungga pada tahun 825.,Sejarah
"Borobudur tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar sehingga Borobudur kala itu benar-benar menyerupai bukit. Alasan sesungguhnya penyebab Borobudur ditinggalkan hingga kini masih belum diketahui. Tidak diketahui secara pasti sejak kapan bangunan suci ini tidak lagi menjadi pusat ziarah umat Buddha. Pada kurun 928 dan 1006, Raja Mpu Sindok memindahkan ibu kota kerajaan Medang ke kawasan Jawa Timur setelah serangkaian letusan gunung berapi; tidak dapat dipastikan apakah faktor inilah yang menyebabkan Borobudur ditinggalkan, akan tetapi beberapa sumber menduga bahwa sangat mungkin Borobudur mulai ditinggalkan pada periode ini. Bangunan suci ini disebutkan secara samar-samar sekitar tahun 1365, oleh Mpu Prapanca dalam naskahnya Nagarakretagama yang ditulis pada masa kerajaan Majapahit. Ia menyebutkan adanya ""Wihara di Budur"". Selain itu Soekmono (1976) juga mengajukan pendapat populer bahwa candi ini mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15.",Mengapa Candi Borobudur sempat menyerupai sebuah bukit?,"Karena selama berabad-abad Borobudur tersembunyi di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar, sehingga tampak seperti bukit.",Sejarah
"Borobudur tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar sehingga Borobudur kala itu benar-benar menyerupai bukit. Alasan sesungguhnya penyebab Borobudur ditinggalkan hingga kini masih belum diketahui. Tidak diketahui secara pasti sejak kapan bangunan suci ini tidak lagi menjadi pusat ziarah umat Buddha. Pada kurun 928 dan 1006, Raja Mpu Sindok memindahkan ibu kota kerajaan Medang ke kawasan Jawa Timur setelah serangkaian letusan gunung berapi; tidak dapat dipastikan apakah faktor inilah yang menyebabkan Borobudur ditinggalkan, akan tetapi beberapa sumber menduga bahwa sangat mungkin Borobudur mulai ditinggalkan pada periode ini. Bangunan suci ini disebutkan secara samar-samar sekitar tahun 1365, oleh Mpu Prapanca dalam naskahnya Nagarakretagama yang ditulis pada masa kerajaan Majapahit. Ia menyebutkan adanya ""Wihara di Budur"". Selain itu Soekmono (1976) juga mengajukan pendapat populer bahwa candi ini mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15.",Apakah alasan pasti ditinggalkannya Borobudur sudah diketahui?,"Belum. Hingga kini penyebab pasti ditinggalkannya Borobudur masih belum diketahui, meskipun ada beberapa teori atau dugaan.",Sejarah
"Borobudur tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar sehingga Borobudur kala itu benar-benar menyerupai bukit. Alasan sesungguhnya penyebab Borobudur ditinggalkan hingga kini masih belum diketahui. Tidak diketahui secara pasti sejak kapan bangunan suci ini tidak lagi menjadi pusat ziarah umat Buddha. Pada kurun 928 dan 1006, Raja Mpu Sindok memindahkan ibu kota kerajaan Medang ke kawasan Jawa Timur setelah serangkaian letusan gunung berapi; tidak dapat dipastikan apakah faktor inilah yang menyebabkan Borobudur ditinggalkan, akan tetapi beberapa sumber menduga bahwa sangat mungkin Borobudur mulai ditinggalkan pada periode ini. Bangunan suci ini disebutkan secara samar-samar sekitar tahun 1365, oleh Mpu Prapanca dalam naskahnya Nagarakretagama yang ditulis pada masa kerajaan Majapahit. Ia menyebutkan adanya ""Wihara di Budur"". Selain itu Soekmono (1976) juga mengajukan pendapat populer bahwa candi ini mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15.",Apakah perpindahan ibu kota oleh Mpu Sindok ada kaitannya dengan ditinggalkannya Borobudur?,"Ada dugaan bahwa perpindahan ibu kota akibat letusan gunung berapi pada masa Mpu Sindok mungkin menjadi salah satu penyebab Borobudur mulai ditinggalkan, tetapi hal ini belum dapat dipastikan.",Sejarah
"Borobudur tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar sehingga Borobudur kala itu benar-benar menyerupai bukit. Alasan sesungguhnya penyebab Borobudur ditinggalkan hingga kini masih belum diketahui. Tidak diketahui secara pasti sejak kapan bangunan suci ini tidak lagi menjadi pusat ziarah umat Buddha. Pada kurun 928 dan 1006, Raja Mpu Sindok memindahkan ibu kota kerajaan Medang ke kawasan Jawa Timur setelah serangkaian letusan gunung berapi; tidak dapat dipastikan apakah faktor inilah yang menyebabkan Borobudur ditinggalkan, akan tetapi beberapa sumber menduga bahwa sangat mungkin Borobudur mulai ditinggalkan pada periode ini. Bangunan suci ini disebutkan secara samar-samar sekitar tahun 1365, oleh Mpu Prapanca dalam naskahnya Nagarakretagama yang ditulis pada masa kerajaan Majapahit. Ia menyebutkan adanya ""Wihara di Budur"". Selain itu Soekmono (1976) juga mengajukan pendapat populer bahwa candi ini mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15.",Bagaimana Borobudur disebutkan dalam naskah Nagarakretagama?,"Borobudur disebut secara samar-samar sebagai ""Wihara di Budur"" dalam naskah Nagarakretagama yang ditulis oleh Mpu Prapanca pada masa kerajaan Majapahit sekitar tahun 1365.",Sejarah
"Borobudur tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar sehingga Borobudur kala itu benar-benar menyerupai bukit. Alasan sesungguhnya penyebab Borobudur ditinggalkan hingga kini masih belum diketahui. Tidak diketahui secara pasti sejak kapan bangunan suci ini tidak lagi menjadi pusat ziarah umat Buddha. Pada kurun 928 dan 1006, Raja Mpu Sindok memindahkan ibu kota kerajaan Medang ke kawasan Jawa Timur setelah serangkaian letusan gunung berapi; tidak dapat dipastikan apakah faktor inilah yang menyebabkan Borobudur ditinggalkan, akan tetapi beberapa sumber menduga bahwa sangat mungkin Borobudur mulai ditinggalkan pada periode ini. Bangunan suci ini disebutkan secara samar-samar sekitar tahun 1365, oleh Mpu Prapanca dalam naskahnya Nagarakretagama yang ditulis pada masa kerajaan Majapahit. Ia menyebutkan adanya ""Wihara di Budur"". Selain itu Soekmono (1976) juga mengajukan pendapat populer bahwa candi ini mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15.",Apa hubungan antara perpindahan agama penduduk sekitar dan ditinggalkannya Borobudur?,"Menurut Soekmono (1976), Borobudur mulai benar-benar ditinggalkan sejak penduduk di sekitar candi beralih keyakinan ke agama Islam pada abad ke-15.",Sejarah
"Pembangunan candi-candi Buddha — termasuk Borobudur — saat itu dimungkinkan karena pewaris Sanjaya, Rakai Panangkaran memberikan izin kepada umat Buddha untuk membangun candi. Bahkan untuk menunjukkan penghormatannya, Panangkaran menganugerahkan desa Kalasan kepada sangha (komunitas Buddha), untuk pemeliharaan dan pembiayaan Candi Kalasan yang dibangun untuk memuliakan Bodhisattwadewi Tara, sebagaimana disebutkan dalam Prasasti Kalasan berangka tahun 778 Masehi.Petunjuk ini dipahami oleh para arkeolog, bahwa pada masyarakat Jawa kuno, agama tidak pernah menjadi masalah yang dapat menuai konflik, dengan dicontohkan raja penganut agama Hindu bisa saja menyokong dan mendanai pembangunan candi Buddha, demikian pula sebaliknya.Akan tetapi diduga terdapat persaingan antara dua wangsa kerajaan pada masa itu — wangsa Syailendra yang menganut Buddha dan wangsa Sanjaya yang memuja Siwa — yang kemudian wangsa Sanjaya memenangi pertempuran pada tahun 856 di perbukitan Ratu Boko. Ketidakjelasan juga timbul mengenai candi Lara Jonggrang di Prambanan, candi megah yang dipercaya dibangun oleh sang pemenang Rakai Pikatan sebagai jawaban wangsa Sanjaya untuk menyaingi kemegahan Borobudur milik wangsa Syailendra, akan tetapi banyak pihak percaya bahwa terdapat suasana toleransi dan kebersamaan yang penuh kedamaian antara kedua wangsa ini yaitu pihak Sailendra juga terlibat dalam pembangunan Candi Siwa di Prambanan.","Siapa tokoh dari wangsa Sanjaya yang memberikan izin pembangunan candi-candi Buddha, dan apa bentuk dukungannya?",Rakai Panangkaran adalah pewaris Wangsa Sanjaya yang memberikan izin kepada umat Buddha untuk membangun candi. Ia bahkan menganugerahkan desa Kalasan kepada sangha untuk mendukung pemeliharaan dan pembiayaan Candi Kalasan.,Sejarah
"Pembangunan candi-candi Buddha — termasuk Borobudur — saat itu dimungkinkan karena pewaris Sanjaya, Rakai Panangkaran memberikan izin kepada umat Buddha untuk membangun candi. Bahkan untuk menunjukkan penghormatannya, Panangkaran menganugerahkan desa Kalasan kepada sangha (komunitas Buddha), untuk pemeliharaan dan pembiayaan Candi Kalasan yang dibangun untuk memuliakan Bodhisattwadewi Tara, sebagaimana disebutkan dalam Prasasti Kalasan berangka tahun 778 Masehi.Petunjuk ini dipahami oleh para arkeolog, bahwa pada masyarakat Jawa kuno, agama tidak pernah menjadi masalah yang dapat menuai konflik, dengan dicontohkan raja penganut agama Hindu bisa saja menyokong dan mendanai pembangunan candi Buddha, demikian pula sebaliknya.Akan tetapi diduga terdapat persaingan antara dua wangsa kerajaan pada masa itu — wangsa Syailendra yang menganut Buddha dan wangsa Sanjaya yang memuja Siwa — yang kemudian wangsa Sanjaya memenangi pertempuran pada tahun 856 di perbukitan Ratu Boko. Ketidakjelasan juga timbul mengenai candi Lara Jonggrang di Prambanan, candi megah yang dipercaya dibangun oleh sang pemenang Rakai Pikatan sebagai jawaban wangsa Sanjaya untuk menyaingi kemegahan Borobudur milik wangsa Syailendra, akan tetapi banyak pihak percaya bahwa terdapat suasana toleransi dan kebersamaan yang penuh kedamaian antara kedua wangsa ini yaitu pihak Sailendra juga terlibat dalam pembangunan Candi Siwa di Prambanan.",Apa yang menunjukkan bahwa toleransi antaragama sangat dijunjung tinggi dalam masyarakat Jawa Kuno?,"Toleransi ditunjukkan oleh dukungan raja Hindu seperti Rakai Panangkaran terhadap pembangunan candi Buddha, serta kemungkinan keterlibatan Wangsa Syailendra (Buddha) dalam pembangunan Candi Siwa di Prambanan, yang merupakan candi Hindu.",Sejarah
